,Industrials_Fund_Value
2020-07-06,19897.680725097656
2020-07-07,19479.240966796875
2020-07-08,19621.799194335938
2020-07-09,18963.120483398438
2020-07-10,19513.56024169922
2020-07-11,20090.39959716797
2020-07-12,20090.39959716797
2020-07-13,20090.39959716797
2020-07-14,20743.799194335938
2020-07-15,21225.60040283203
2020-07-16,20914.080322265625
2020-07-17,20998.56024169922
2020-07-18,20755.680725097656
2020-07-19,20755.680725097656
2020-07-20,20755.680725097656
2020-07-21,21159.60040283203
2020-07-22,21483.0
2020-07-23,21580.680725097656
2020-07-24,21236.16064453125
2020-07-25,21554.27911376953
2020-07-26,21554.27911376953
2020-07-27,21554.27911376953
2020-07-28,20899.56024169922
2020-07-29,21571.43975830078
2020-07-30,20712.120483398438
2020-07-31,20508.83935546875
2020-08-01,21071.16064453125
2020-08-02,21071.16064453125
2020-08-03,21071.16064453125
2020-08-04,21230.879516601562
2020-08-05,22381.919677734375
2020-08-06,22261.799194335938
2020-08-07,22913.879516601562
2020-08-08,23926.319274902344
2020-08-09,23926.319274902344
2020-08-10,23926.319274902344
2020-08-11,23181.83935546875
2020-08-12,23575.200805664062
2020-08-13,23544.83935546875
2020-08-14,23671.56024169922
2020-08-15,23638.56024169922
2020-08-16,23638.56024169922
2020-08-17,23638.56024169922
2020-08-18,23305.919677734375
2020-08-19,23156.759033203125
2020-08-20,23040.60040283203
2020-08-21,23107.919677734375
2020-08-22,23360.040161132812
2020-08-23,23360.040161132812
2020-08-24,23360.040161132812
2020-08-25,23340.240966796875
2020-08-26,23441.879516601562
2020-08-27,23630.640563964844
2020-08-28,24093.959838867188
2020-08-29,23370.60040283203
2020-08-30,23370.60040283203
2020-08-31,23370.60040283203
2020-09-01,24095.27911376953
2020-09-02,24364.56024169922
2020-09-03,23019.479919433594
2020-09-04,23288.759033203125
2020-09-05,22752.83935546875
2020-09-06,22752.83935546875
2020-09-07,22752.83935546875
2020-09-08,22752.83935546875
2020-09-09,23217.479919433594
2020-09-10,22698.72088623047
2020-09-11,23051.16064453125
2020-09-12,23308.56024169922
2020-09-13,23308.56024169922
2020-09-14,23308.56024169922
2020-09-15,23305.919677734375
2020-09-16,23964.60040283203
2020-09-17,23862.959838867188
2020-09-18,23258.39959716797
2020-09-19,22107.359436035156
2020-09-20,22107.359436035156
2020-09-21,22107.359436035156
2020-09-22,22172.040161132812
2020-09-23,21381.359436035156
2020-09-24,21995.16064453125
2020-09-25,22194.479919433594
2020-09-26,23196.359436035156
2020-09-27,23196.359436035156
2020-09-28,23196.359436035156
2020-09-29,22995.72088623047
2020-09-30,23034.0
2020-10-01,23146.200805664062
2020-10-02,24422.640563964844
2020-10-03,26096.39959716797
2020-10-04,26096.39959716797
2020-10-05,26096.39959716797
2020-10-06,25590.83935546875
2020-10-07,26262.72088623047
2020-10-08,26332.680725097656
2020-10-09,25996.080322265625
2020-10-10,26281.200805664062
2020-10-11,26281.200805664062
2020-10-12,26281.200805664062
2020-10-13,25643.640563964844
2020-10-14,24833.16064453125
2020-10-15,24872.759033203125
2020-10-16,25468.080322265625
2020-10-17,24742.080322265625
2020-10-18,24742.080322265625
2020-10-19,24742.080322265625
2020-10-20,24990.240966796875
2020-10-21,24666.83935546875
2020-10-22,24472.799194335938
2020-10-23,24847.680725097656
2020-10-24,24039.83935546875
2020-10-25,24039.83935546875
2020-10-26,24039.83935546875
2020-10-27,23074.919677734375
2020-10-28,22536.359436035156
2020-10-29,22865.040161132812
2020-10-30,23534.27911376953
2020-10-31,25432.43975830078
2020-11-01,25432.43975830078
2020-11-02,25432.43975830078
2020-11-03,26591.39959716797
2020-11-04,23653.080322265625
2020-11-05,24878.040161132812
2020-11-06,25272.72088623047
2020-11-07,27168.240966796875
2020-11-08,27168.240966796875
2020-11-09,27168.240966796875
2020-11-10,27623.640563964844
2020-11-11,27357.0
2020-11-12,26653.43975830078
2020-11-13,27359.640563964844
2020-11-14,28753.56024169922
2020-11-15,28753.56024169922
2020-11-16,28753.56024169922
2020-11-17,28329.83935546875
2020-11-18,28545.0
2020-11-19,28644.0
2020-11-20,29013.60040283203
2020-11-21,29872.919677734375
2020-11-22,29872.919677734375
2020-11-23,29872.919677734375
2020-11-24,31404.120483398438
2020-11-25,30420.72088623047
2020-11-26,30744.120483398438
