,TMT_Fund_Value
2021-06-11,66736.6131401062
2021-06-12,67182.01285171509
2021-06-13,67182.01285171509
2021-06-14,67182.01285171509
2021-06-15,66755.13664245605
2021-06-16,66606.52080917358
2021-06-17,67768.49865722656
2021-06-18,67256.36827087402
2021-06-19,67928.07130813599
2021-06-20,67928.07130813599
2021-06-21,67928.07130813599
2021-06-22,68671.29174804688
2021-06-23,68809.32736968994
2021-06-24,69240.41038894653
2021-06-25,68954.07747268677
2021-06-26,70026.48038482666
2021-06-27,70026.48038482666
2021-06-28,70026.48038482666
2021-06-29,70553.2989692688
2021-06-30,70469.09838485718
2021-07-01,70861.7008895874
2021-07-02,72166.14864349365
2021-07-03,72087.84094238281
2021-07-04,72087.84094238281
2021-07-05,72087.84094238281
2021-07-06,72087.84094238281
2021-07-07,72304.06851577759
2021-07-08,71441.88265991211
2021-07-09,71744.56083679199
2021-07-10,71812.38156890869
2021-07-11,71812.38156890869
2021-07-12,71812.38156890869
2021-07-13,72382.32218170166
2021-07-14,72418.69177246094
2021-07-15,71741.77006530762
2021-07-16,71291.14992904663
2021-07-17,70511.99208450317
2021-07-18,70511.99208450317
2021-07-19,70511.99208450317
2021-07-20,71110.18124008179
2021-07-21,72006.59879684448
2021-07-22,72958.3632736206
2021-07-23,73781.73289871216
2021-07-24,73616.54773712158
2021-07-25,73616.54773712158
2021-07-26,73616.54773712158
2021-07-27,72982.56176376343
2021-07-28,73133.68001556396
2021-07-29,73338.29959487915
2021-07-30,72888.29100418091
2021-07-31,72977.38172149658
2021-08-01,72977.38172149658
2021-08-02,72977.38172149658
2021-08-03,73454.07871627808
2021-08-04,73512.69229888916
2021-08-05,74391.97756576538
2021-08-06,74268.5383605957
2021-08-07,73881.46712875366
2021-08-08,73881.46712875366
2021-08-09,73881.46712875366
2021-08-10,73415.3603439331
2021-08-11,73454.65273284912
2021-08-12,74077.28968811035
2021-08-13,74803.35150909424
2021-08-14,75073.90131378174
2021-08-15,75073.90131378174
2021-08-16,75073.90131378174
2021-08-17,74496.91730499268
2021-08-18,73878.57205200195
2021-08-19,75264.12770462036
2021-08-20,77395.13706588745
2021-08-21,77935.04881668091
2021-08-22,77935.04881668091
2021-08-23,77935.04881668091
2021-08-24,77492.27883911133
2021-08-25,77540.29208374023
2021-08-26,76824.50913238525
2021-08-27,77423.38024139404
2021-08-28,78200.5096206665
2021-08-29,78200.5096206665
2021-08-30,78200.5096206665
2021-08-31,77731.92120742798
2021-09-01,77786.36730194092
2021-09-02,77611.24908828735
2021-09-03,77655.46269226074
2021-09-04,77274.91812133789
2021-09-05,77274.91812133789
2021-09-06,77274.91812133789
2021-09-07,77274.91812133789
2021-09-08,76991.98818969727
2021-09-09,76303.55005645752
2021-09-10,76012.08837509155
2021-09-11,76246.70818710327
2021-09-12,76246.70818710327
2021-09-13,76246.70818710327
2021-09-14,76800.41165542603
2021-09-15,78023.78179168701
2021-09-16,78112.78037261963
2021-09-17,76872.82903671265
2021-09-18,75241.39754867554
2021-09-19,75241.39754867554
2021-09-20,75241.39754867554
2021-09-21,75479.09754562378
2021-09-22,76769.61749267578
2021-09-23,77215.83955383301
2021-09-24,77281.55140686035
2021-09-25,76083.03305053711
2021-09-26,76083.03305053711
2021-09-27,76083.03305053711
2021-09-28,73300.27779006958
2021-09-29,73317.80004119873
2021-09-30,72912.68287658691
2021-10-01,74498.70141220093
2021-10-02,72937.78723144531
2021-10-03,72937.78723144531
2021-10-04,72937.78723144531
2021-10-05,74433.74197387695
2021-10-06,75409.98682403564
2021-10-07,85481.95092010498
2021-10-08,85344.21146011353
2021-10-09,84976.8321762085
2021-10-10,84976.8321762085
2021-10-11,84976.8321762085
2021-10-12,84547.67140960693
2021-10-13,85690.60945129395
2021-10-14,87549.22035598755
2021-10-15,87833.68807601929
2021-10-16,88669.25170516968
2021-10-17,88669.25170516968
2021-10-18,88669.25170516968
2021-10-19,89237.86165618896
2021-10-20,89166.31022644043
2021-10-21,89974.35189437866
2021-10-22,89650.5304031372
2021-10-23,89822.51121520996
2021-10-24,89822.51121520996
2021-10-25,89822.51121520996
2021-10-26,90705.1869354248
2021-10-27,93008.72269821167
2021-10-28,93685.7816772461
2021-10-29,95456.02891921997
2021-10-30,95233.82891464233
2021-10-31,95233.82891464233
2021-11-01,95233.82891464233
2021-11-02,96268.46154785156
2021-11-03,97008.35074996948
2021-11-04,97759.83071517944
2021-11-05,97921.59928131104
2021-11-06,98502.97813415527
2021-11-07,98502.97813415527
2021-11-08,98502.97813415527
2021-11-09,97888.58294677734
2021-11-10,96152.51751708984
2021-11-11,96972.27829742432
2021-11-12,97885.05017471313
2021-11-13,97622.58163833618
2021-11-14,97622.58163833618
2021-11-15,97622.58163833618
2021-11-16,98409.2021408081
2021-11-17,97609.53821182251
2021-11-18,98788.97732925415
2021-11-19,99633.05736541748
2021-11-20,98347.83729171753
2021-11-21,98347.83729171753
2021-11-22,98347.83729171753
2021-11-23,97376.3981666565
2021-11-24,97795.29027938843
2021-11-25,95143.57859420776
2021-11-26,95143.57859420776
2021-11-27,97693.8514251709
2021-11-28,97693.8514251709
2021-11-29,97693.8514251709
2021-11-30,95975.52997970581
2021-12-01,95264.07716751099
2021-12-02,95698.19848632812
2021-12-03,93927.10154724121
2021-12-04,94730.57013320923
2021-12-05,94730.57013320923
2021-12-06,94730.57013320923
2021-12-07,97814.88203048706
2021-12-08,97582.59030532837
2021-12-09,96773.24103546143
2021-12-10,98687.59202957153
2021-12-11,97145.57779693604
2021-12-12,97145.57779693604
2021-12-13,97145.57779693604
2021-12-14,94195.3486366272
2021-12-15,96300.3786239624
2021-12-16,93092.4782447815
2021-12-17,93173.84799194336
2021-12-18,92109.97071838379
2021-12-19,92109.97071838379
2021-12-20,92109.97071838379
2021-12-21,94498.78182220459
2021-12-22,95914.12250518799
2021-12-23,96401.50024414062
2021-12-24,98817.95280456543
2021-12-25,98817.95280456543
2021-12-26,98817.95280456543
2021-12-27,98817.95280456543
2021-12-28,98307.4098739624
2021-12-29,98166.22291564941
2021-12-30,97480.94111251831
2021-12-31,96666.13102722168
2022-01-01,97139.06982803345
2022-01-02,97139.06982803345
