,Energy_Fund_Value
2020-10-05,7859.059913635254
2020-10-06,7826.590093612671
2020-10-07,7918.910001754761
2020-10-08,8242.479946136475
2020-10-09,8178.180019378662
2020-10-10,8222.68995475769
2020-10-11,8222.68995475769
2020-10-12,8222.68995475769
2020-10-13,8239.400203704834
2020-10-14,8310.119915008545
2020-10-15,8360.119682312012
2020-10-16,8254.229990005493
2020-10-17,8190.260139465332
2020-10-18,8190.260139465332
2020-10-19,8190.260139465332
2020-10-20,8323.639692306519
2020-10-21,8260.750160217285
2020-10-22,8601.68995475769
2020-10-23,8658.22995376587
2020-10-24,8450.21033668518
2020-10-25,8450.21033668518
2020-10-26,8450.21033668518
2020-10-27,8387.010154724121
2020-10-28,8185.849948883057
2020-10-29,8358.46001625061
2020-10-30,8145.480026245117
2020-10-31,8264.510074615479
2020-11-01,8264.510074615479
2020-11-02,8264.510074615479
2020-11-03,8298.700269699097
2020-11-04,8239.489721298218
2020-11-05,8172.730178833008
2020-11-06,7922.240020751953
2020-11-07,8585.020009994507
2020-11-08,8585.020009994507
2020-11-09,8585.020009994507
2020-11-10,8937.580375671387
2020-11-11,8797.919872283936
2020-11-12,8612.050174713135
2020-11-13,8793.350116729736
2020-11-14,8897.169960021973
2020-11-15,8897.169960021973
2020-11-16,8897.169960021973
2020-11-17,8929.030025482178
2020-11-18,8790.169841766357
2020-11-19,8764.249927520752
2020-11-20,8739.25983428955
2020-11-21,8976.81974029541
2020-11-22,8976.81974029541
2020-11-23,8976.81974029541
2020-11-24,9267.029880523682
2020-11-25,9240.580375671387
2020-11-26,9146.63024520874
2020-11-27,9146.63024520874
2020-11-28,8889.290042877197
2020-11-29,8889.290042877197
2020-11-30,8889.290042877197
2020-12-01,8958.330207824707
2020-12-02,9211.13980102539
2020-12-03,9332.979923248291
2020-12-04,9371.160022735596
2020-12-05,9343.339946746826
2020-12-06,9343.339946746826
2020-12-07,9343.339946746826
2020-12-08,9434.950218200684
2020-12-09,9366.180404663086
2020-12-10,9501.63981628418
2020-12-11,9453.1499710083
2020-12-12,9319.019653320312
2020-12-13,9319.019653320312
2020-12-14,9319.019653320312
2020-12-15,9555.29999923706
2020-12-16,9413.909934997559
2020-12-17,9534.170192718506
2020-12-18,9407.749767303467
2020-12-19,9190.579902648926
2020-12-20,9190.579902648926
2020-12-21,9190.579902648926
2020-12-22,9099.459957122803
2020-12-23,9101.849796295166
2020-12-24,9099.699993133545
2020-12-25,9088.01989364624
2020-12-26,9088.01989364624
2020-12-27,9088.01989364624
2020-12-28,9088.01989364624
2020-12-29,9057.12007522583
2020-12-30,9031.659885406494
2020-12-31,9124.73025894165
2021-01-01,8885.900131225586
2021-01-02,8885.900131225586
2021-01-03,8885.900131225586
2021-01-04,8885.900131225586
2021-01-05,9047.73025894165
2021-01-06,9107.680068969727
